Episode,NumGreen,NumYellow,NumRed,NumWaste,WasteLeft,DisposedWaste,TotalReward,AvgActorLoss,AvgCriticLoss,AvgEntropy
124,1,1,1,10.8,0,0,78.60,-0.0146,4.4229,1.4514
125,1,1,1,9.1,0,0,77.69,-0.0146,5.5908,1.4483
126,1,1,1,10.4,0,0,73.33,-0.0146,5.5908,1.4483
127,1,1,1,9.9,0,0,57.40,-0.0146,5.5908,1.4483
128,1,1,1,9.8,0,0,83.42,-0.0147,4.8536,1.4534
129,1,1,1,10.4,0,0,90.34,-0.0147,4.8536,1.4534
130,1,1,1,11.0,0,0,73.29,-0.0147,4.8536,1.4534
131,1,1,1,9.1,0,0,88.15,-0.0146,7.3103,1.4458
132,1,1,1,10.1,0,0,79.88,-0.0146,7.3103,1.4458
133,1,1,1,8.9,0,0,78.27,-0.0146,7.3103,1.4458
134,1,1,1,11.1,0,0,79.76,-0.0146,5.0056,1.4537
135,1,1,1,10.2,0,0,84.16,-0.0146,5.0056,1.4537
136,1,1,1,11.9,0,0,86.25,-0.0146,5.0056,1.4537
137,1,1,1,10.5,0,0,85.34,-0.0147,6.0868,1.4623
138,1,1,1,7.6,0,0,77.55,-0.0147,6.0868,1.4623
139,1,1,1,10.0,0,0,74.70,-0.0147,6.0868,1.4623
140,1,1,1,10.0,0,0,73.16,-0.0147,5.9306,1.4618
141,1,1,1,9.1,0,0,78.79,-0.0147,5.9306,1.4618
142,1,1,1,9.4,0,0,78.70,-0.0147,5.9306,1.4618
143,1,1,1,11.4,0,0,86.08,-0.0147,5.4844,1.4642
144,1,1,1,7.6,0,0,89.37,-0.0147,5.4844,1.4642
145,1,1,1,11.0,0,0,79.27,-0.0147,5.4844,1.4642
146,1,1,1,11.1,0,0,74.31,-0.0147,5.8322,1.4642
147,1,1,1,10.9,0,0,84.52,-0.0147,5.8322,1.4642
148,1,1,1,9.2,0,0,78.67,-0.0147,5.8322,1.4642
149,1,1,1,10.6,0,0,84.39,-0.0147,5.2644,1.4606
150,1,1,1,10.2,0,0,89.74,-0.0147,5.2644,1.4606
151,1,1,1,8.9,0,0,78.51,-0.0147,5.2644,1.4606
152,1,1,1,9.5,0,0,79.98,-0.0146,6.0358,1.4537
153,1,1,1,10.8,0,0,90.20,-0.0146,6.0358,1.4537
154,1,1,1,10.8,0,0,84.91,-0.0146,6.0358,1.4537
155,1,1,1,10.9,0,0,68.74,-0.0146,4.7627,1.4528
156,1,1,1,10.5,0,0,84.34,-0.0146,4.7627,1.4528
157,1,1,1,9.5,0,0,78.49,-0.0146,4.7627,1.4528
158,1,1,1,10.9,0,0,85.96,-0.0145,5.3322,1.4468
159,1,1,1,9.9,0,0,90.19,-0.0145,5.3322,1.4468
160,1,1,1,8.2,0,0,89.61,-0.0145,5.3322,1.4468
161,1,1,1,9.1,0,0,84.51,-0.0145,4.9493,1.4447
162,1,1,1,8.6,0,0,83.82,-0.0145,4.9493,1.4447
163,1,1,1,9.2,0,0,83.81,-0.0145,4.9493,1.4447
164,1,1,1,11.2,0,0,67.50,-0.0144,4.4338,1.4363
165,1,1,1,11.5,0,0,79.89,-0.0144,4.4338,1.4363
166,1,1,1,10.4,0,0,85.02,-0.0144,4.4338,1.4363
167,1,1,1,11.2,0,0,85.75,-0.0146,4.2918,1.4407
168,1,1,1,9.0,0,0,89.99,-0.0146,4.2918,1.4407
169,1,1,1,10.4,0,0,89.94,-0.0146,4.2918,1.4407
170,1,1,1,10.4,0,0,79.13,-0.0145,4.7708,1.4430
171,1,1,1,9.5,0,0,90.46,-0.0145,4.7708,1.4430
172,1,1,1,9.2,0,0,90.43,-0.0145,4.7708,1.4430
173,1,1,1,8.4,0,0,90.36,-0.0144,4.6962,1.4346
174,1,1,1,7.9,0,0,84.20,-0.0144,4.6962,1.4346
175,1,1,1,9.4,0,0,79.44,-0.0144,4.6962,1.4346
176,1,1,1,9.4,0,0,79.76,-0.0144,4.0686,1.4328
177,1,1,1,10.4,0,0,91.18,-0.0144,4.0686,1.4328
178,1,1,1,10.4,0,0,80.04,-0.0144,4.0686,1.4328
179,1,1,1,9.2,0,0,84.31,-0.0144,4.1101,1.4365
180,1,1,1,8.4,0,0,83.44,-0.0144,4.1101,1.4365
181,1,1,1,9.6,0,0,85.74,-0.0144,4.1101,1.4365
182,1,1,1,8.6,0,0,90.57,-0.0145,4.3121,1.4334
183,1,1,1,10.0,0,0,85.10,-0.0145,4.3121,1.4334
